id,test_level,soft_pos,motor1,motor2,motor3,motor4,laser0,laser1,laser2,temperature,force,force_residual
1,6,28.154082000000017,28.1554,277.9999816417694,0.025500000000000078,0.06164999999999998,5.352827758150475,5.704926046084177,6.041135019681367,30.108550233840933,300.33683064527304,0.05167875566803559
2,6,28.154082000000017,28.1554,277.9999816417694,0.025650000000000173,0.0616000000000001,5.352727593194496,5.705325542946279,6.040934649327069,30.116161350674105,300.5004800382194,1.5015549563377135
3,10,24.154082000000017,24.155900000000003,277.9999816417694,0.02519999999999989,0.0636000000000001,1.3535142040305694,1.6994623345600357,2.0429662845034544,30.142158576470838,300.867973411855,-1.9666637573445769
4,10,24.154082000000017,24.156,277.9999887943268,0.025250000000000217,0.06394999999999995,1.3536137194875897,1.6993618029182183,2.0428674603695285,30.153728941811455,299.3204817838132,1.1541588765730921
