id,test_level,soft_pos,motor1,motor2,motor3,motor4,laser0,laser1,laser2,temperature,force,force_residual
1,10,24.154082000000017,24.1603,277.99983382225037,0.027899999999999814,0.06404999999999994,1.3551065225878784,1.709013634192298,2.0468207066209145,29.80640855824505,299.86597976030225,-0.11484167926118971
2,10,24.154082000000017,24.1604,277.99983382225037,0.027649999999999952,0.06440000000000001,1.3549074742490095,1.708209293178408,2.046721868105939,29.796349305400142,300.265054595734,-0.24690961041051196
3,6,28.154082000000017,28.15815,277.9998302459717,0.02574999999999994,0.06295000000000006,5.357034645737192,5.710317213554833,6.045142658898692,29.74980393480371,302.8949290508108,2.219315451718103
4,6,28.154082000000017,28.1581,277.9998254776001,0.025450000000000195,0.06269999999999998,5.357034645737192,5.709918015853591,6.045242855556676,29.731110406098534,300.1157604126947,-1.6422360134320115
