id,test_level,soft_pos,motor1,motor2,motor3,motor4,laser0,laser1,laser2,temperature,force,force_residual
1,6,28.154082000000017,28.1288,277.9999840259552,0.020950000000000024,0.06164999999999998,5.340808581237968,5.690327034656,6.0282133347704425,33.06354093198422,300.2966360575292,0.02009729387009429
2,6,28.154082000000017,28.12885,277.9999840259552,0.02220000000000022,0.06085000000000007,5.340407989562021,5.690627356706904,6.0284136379843725,33.071930736259176,299.4669049248696,1.1713851284621342
3,10,24.154082000000017,24.13125,277.9999840259552,0.024049999999999905,0.06269999999999998,1.3393873667059295,1.688004392267118,2.0297263305777125,33.096493631998705,298.599850246449,-0.8727967623835866
4,10,24.154082000000017,24.131349999999998,277.9999828338623,0.024350000000000094,0.06299999999999994,1.3392879031220715,1.688305830504971,2.0303190819606343,33.10475938514427,298.75775755543145,0.9531859378657828
