id,test_level,soft_pos,motor1,motor2,motor3,motor4,laser0,laser1,laser2,temperature,force,force_residual
1,6,28.154082000000017,28.13425,277.9999840259552,0.028350000000000097,0.06059999999999999,5.343913312841478,5.6975308113560805,6.032019267937102,32.05439273445696,298.61133441437596,-0.5024323467669092
2,6,28.154082000000017,28.134349999999998,277.99997329711914,0.027449999999999974,0.06004999999999994,5.343913312841478,5.697430815854795,6.031919107078226,32.040586268813506,300.82490778213196,1.36661598320552
3,10,24.154082000000017,24.13445,277.9999887943268,0.025700000000000056,0.06214999999999993,1.344858206078436,1.6903155565816388,2.0333817246361945,32.00602522602788,299.58461764611366,-0.06316292359315412
4,10,24.154082000000017,24.1346,277.9999828338623,0.025700000000000056,0.0625,1.3447587291194523,1.6903155565816388,2.033579320594094,32.00080301567361,299.6133280659287,-1.0967380369420425
