id,test_level,soft_pos,motor1,motor2,motor3,motor4,laser0,laser1,laser2,temperature,force,force_residual
1,10,24.154082000000017,24.152099999999997,277.9999804496765,0.027550000000000185,0.062349999999999905,1.3492355391812212,1.7015735606321245,2.042175700914464,30.851703938731436,299.82004308859814,-0.967541147772863
2,10,24.154082000000017,24.15235,277.9999840259552,0.027449999999999974,0.06240000000000001,1.349434527036792,1.7022773253546626,2.0424721672342034,30.834456715760407,299.8372693404872,0.35600920570959715
3,6,28.154082000000017,28.151200000000003,277.999986410141,0.026650000000000063,0.06164999999999998,5.35112495402763,5.704526524490035,6.039431906729393,30.741974312111182,299.92052955795225,-0.9388307279587025
4,6,28.154082000000017,28.151200000000003,277.9999780654907,0.026450000000000085,0.061450000000000005,5.351225118872451,5.70482616800814,6.039431906729393,30.72625487539504,300.299507099513,-0.42204317128380353
